Subject ,Group ,Age,Height (cm) ,Mass (kg),Training age (years) 
RP01,cluster,22.24,170.1,76.06,6
RP02,cluster,23.15,177.8,84,10
RP004,cluster,0.54,167.6,68.03,4
RP007,cluster,20.19,170.1,86.9,3
RP008,cluster,24.28,177.8,84.3,6
RP10,cluster,18.57,180.3,70.3,1
RP12,cluster,20.05,177.8,83.9,2
RP13,cluster,23.14,182.8,117.9,5
RP23,cluster,22.87,160,61.23,3
RP24,cluster,23.01,186.6,77.1,6
RP25,cluster,21.72,165.1,52.16,3
RP26,cluster,18.99,181.6,99.7,3
RP30,cluster,42.95,180.3,90.1,8
RP32,cluster,23.43,170.1,68,2
RP003,trad,21.33,177.8,102.01,3
RP005,trad,21.27,182.8,89.8,7
RP006,trad,1.51,182.8,80.28,5
RP009,trad,20.76,165.1,74.8,3
RP11,trad,18.66,172.8,65.7,2
RP14,trad,21.71,160,59.4,5
RP22,trad,26.12,170.1,77.11,3
RP27,trad,21.00,187.9,92.9,4
RP28,trad,30.74,180.1,103,12
RP29,trad,23.61,157.4,60.6,2
RP31,trad,26.71,174,100.7,2